sentiment,content,at
Negatif,tolong khusus kota sorong dan kabupaten sorong driver nya kalau lagi makan atau istirahat tidak bisa melayani konsumen hp atau aplikasi nya di matikan tadi siang saya hampir 5 driver motor minta di batal kan nanti malah di kira saya main main aplikasi sampai tadi siang saya ngk bisa buka apk karena ulah mereka sendiri. saya mohon di himbau kepada driver motor tersebut sampai saya di marahi boss hanya karena pelayanan maxim motor yang minta di batalkan alasan ban bocor lah alasan makan lah 🙏,2025-02-28 14:30:39
Positif,"mbak rina nya baik, komunikatif.. tq mbak sudah antar saya.",2025-02-28 14:28:33
Positif,layanan sangat baik terimakasih banyak,2025-02-28 14:20:18
Positif,"mantap, driver dan pelayanannya",2025-02-28 14:04:35
Negatif,maps nya bikin sakit lagi..biar gampang cari titik nya,2025-02-28 13:54:46
Positif,driver nya ramah ganteng,2025-02-28 13:45:38
Positif,baik sekali bg ni,2025-02-28 13:36:04
Positif,baik n ramah,2025-02-28 13:35:08
Positif,pelayanan sangat baik,2025-02-28 13:32:47
Negatif,"apk lelet, pencarian lelet, saya mlah terlambat ngantor",2025-02-28 13:20:57
Negatif,"dahal ya bagus ini apk tpi driver nya banyak yang nolak dengan alasan hujan, yakali mesen sepeda dahal mesen pakek mobil huft",2025-02-28 13:19:26
Negatif,pengemudi gampang mencancel orderan,2025-02-28 13:15:50
Positif,pengiriman terbaik,2025-02-28 13:12:52
Positif,"alhamdulillah pelayann ny memuaskan, terimakasih👍🏽👍🏽👍🏽",2025-02-28 13:12:35
Positif,"perjalanan sesuai titik,bapaknya sabar, terimakasih",2025-02-28 13:11:21
Positif,puas dengan pelayanan nya,2025-02-28 13:10:41
Positif,melayani cepat aman nyaman sampai tujuan,2025-02-28 13:07:23
Positif,ramah dan sangat cepat,2025-02-28 13:06:32
Positif,mantap sekali,2025-02-28 13:05:43
Positif,"bguss bgt,mudah buat mesen kendaraan dan harga yg murah kualitas sangat bagus,supirnya pun ramah ramah.",2025-02-28 12:53:41
Positif,"pelayanan baik, terimakasih😊",2025-02-28 12:53:07
Positif,sikap driver sangat baik,2025-02-28 12:44:54
Positif,bagus 👍mempermudah kita bos,2025-02-28 12:40:37
Positif,saya nyaman dengan maxim,2025-02-28 12:38:09
Positif,mas nya baik sekali,2025-02-28 12:29:58
Negatif,"gajelas tiba""logout sendiri, nyari driver lama bngt berkali"" gada driver nya-_-",2025-02-28 12:24:21
Positif,tepat waktu penjemputan,2025-02-28 12:21:18
Positif,sangat puas dan cepat dengan layanannya terimakasih,2025-02-28 12:06:52
Positif,sangat mengayomi,2025-02-28 12:03:39
Negatif,lama banget nyari orang yg mau anter makanan disini,2025-02-28 11:57:27
Positif,aman nyaman,2025-02-28 11:48:08
Positif,semoga maxim selalu jaya pelayanan gercep good job,2025-02-28 11:39:12
Positif,draipernya bagus sopan ramah tamah,2025-02-28 11:34:52
Positif,sangat baik dan ramahh,2025-02-28 11:08:57
Positif,pak terimakasih engge 🙏🙏🙏,2025-02-28 11:07:59
Positif,"terima kasih bang , saya mau interviuw di antar sampai tujuan",2025-02-28 11:01:41
Positif,"cepat, sangat baik 👌 orang nya juga baikk",2025-02-28 10:54:51
Positif,driver maxim nya ramah.. baik. respon nya cpt 👍🏻👍🏻👍🏻,2025-02-28 10:31:24
Negatif,"ongkos murah, tapi sayang nya gak bisa login, sudah berkali kali saya ganti nomor tuk login tapi gak masuk masuk kede verifikasi nya, tolong di perbaiki, jika sudah di perbaiki saya kasi bintang 5",2025-02-28 10:31:01
Positif,sesuai yang diharapkan,2025-02-28 10:29:27
Positif,kerenn nuhun bro,2025-02-28 10:26:40
Negatif,makanan yang di pesan kebanyakan gak ada di titik,2025-02-28 10:25:30
Negatif,driver mobilnya sombong-sombong semua. kecuali dinaikin harganya baru mau. kalau memang niatnya ga mau sesuai aplikasi ga usah make maxim!,2025-02-28 10:25:14
Positif,orangnya asik,2025-02-28 10:05:37
Positif,driver nya ok pisannn hatur nuhun,2025-02-28 10:01:19
Positif,pelayanan sangat maximal terbaik,2025-02-28 09:58:45
Positif,puas dan ramah,2025-02-28 09:44:45
Negatif,"apps ga jelas,drivernya ga niat kerja,uda dikasih harga lebih malah di tolak terus,ga niat kerja apa gimana?,dan buat devlopernya mohon appsnya mohon di benahi lagi kadang sering error tiba tiba",2025-02-28 09:42:20
Positif,keren banget ya kak untuk berubah menjadi pemenang semakin besar untuk menjadi lebih baik dari tadi,2025-02-28 09:32:17
Positif,semakin bagus,2025-02-28 09:22:56
Positif,terbaik. terima kasih 🙏🏻🙏🏻,2025-02-28 09:21:21
Negatif,"kak bisa tambah fitur send foto nggak buat kirim patokan lokasi, soalnya malah suka kucing kucingan sama drivernya.",2025-02-28 09:16:40
Positif,mantap pelayanannya,2025-02-28 09:13:15
Positif,tingkatkan terus pelayanan,2025-02-28 09:12:32
Negatif,"driver nya sering telat nyampenya bahkan sampai 30 menit, kadang juga udah nungguin setengah jam ehh tiba tiba di cancel sama driver nya, naik mobilnya juga drivernya gak ramah, tas nya ditaruh didepan kursi penumpang dan gak mau dipindahin, padahal kan untuk mobil kan 4 orang,, terus bayar nya gak sesuai aplikasi lagi.. katanya dari aplikasi driver nya gitu, padahal gak ada lewat tol atau bayar parkir. ketika diberikan masukan ke aplikasinya ehh malah kita yang disalahin.",2025-02-28 09:07:49
Negatif,chat yg d kirim k driver tdk semuanya masuk / d terima driver,2025-02-28 08:59:28
Positif,terimakasih pak sudah bnyak membantuk sya...,2025-02-28 08:57:15
Positif,tingkatkan lagi dalam segala hal terimakasih,2025-02-28 08:40:07
Negatif,maxim mobil di tegal driver nya tidak ada yang ramah !,2025-02-28 08:39:14
Positif,trmksh plnyanan y sngt bgus...semonga lancar rejekiy sehat dlm prjlanan,2025-02-28 08:37:53
Negatif,maxsim susah skli dapatin agak lelet untuk menerima penumpang yg butuh,2025-02-28 08:18:10
Positif,mb nya baik bgt. salah titik jauj gk marah tetep lgsung di gas. maaf dan makasih mb 💖,2025-02-28 08:14:01
Positif,"cepat,,pelayanan bagus,, terimakasih",2025-02-28 08:12:44
Negatif,"tolong perbaiki layanan nya, maxim untuk daerah kotabumi lampung utara pengemudi nya kurang baik. customer bawa barang banyak supir nya gk suka, customer perempuan dengan barang bawaan yg banyak tidak dibantu nurunin barang dr mobil. sangat buruk!",2025-02-28 08:07:47
Positif,trimakasih telah membantu perjalanan kami,2025-02-28 08:05:16
Positif,baik..ramah sabar walaupun macet semagat yaa pak,2025-02-28 08:00:01
Positif,"sangat ramah,baik",2025-02-28 07:56:43
Positif,bagus pelayanannya,2025-02-28 07:52:41
Positif,bisa diandalkan dlm perjalanan,2025-02-28 07:48:47
Positif,baik banget bolak balik dibantu cari travel,2025-02-28 07:48:17
Negatif,banyak gangguan,2025-02-28 07:45:57
Positif,mudah dan aktivasi,2025-02-28 07:20:01
Positif,"mantab coi maxim murah bet murah, driver nya juga cepet nyampe nya terus sampai ke tujuan dengan cepat dan selamat, mantab maxim lebih bagus dari gojek",2025-02-28 07:17:05
Positif,pelayaan nya lumayan bagus 👍,2025-02-28 07:15:33
Positif,pelayanan prima terimakasih,2025-02-28 07:13:21
Positif,"sopir sopan, ramah dan sabar",2025-02-28 07:13:09
Positif,"driver ramah,dan nyaman",2025-02-28 07:12:00
Negatif,gak bisa ngirim sms apa la no ku masih aktif di suruh nyocokin gambar emng gak niat ga sa buat laa,2025-02-28 07:05:19
Negatif,untuk ketika menunggu konfirmasi msi terlalu lama y kak,2025-02-28 06:51:27
Positif,ramah.tepat waktu..terima kasih,2025-02-28 06:48:02
Positif,trimakasih atas pelayananya,2025-02-28 06:43:38
Negatif,pesan food disini nda di respon,2025-02-28 06:36:27
Positif,cepatt dan baik,2025-02-28 06:13:35
Negatif,"ribet, pilih map kesusahan, nggak banyak map/jln yang bisa di pilih alias tidak nonggol di maxim doang",2025-02-28 06:12:31
Positif,mantap makasih kang udah anterin sampai tu7an,2025-02-28 05:50:58
Positif,nyaman aman ..mantap,2025-02-28 05:47:36
Negatif,mengecewakan order sudah selesai tapi memesan otomatis kembali padahal saya tidak pesan dan orderan sebelumnya sudah selesai. not recommended,2025-02-28 05:44:58
Negatif,"salado beberapa kali ke potong tanpa ada driver yang datang ke lokasi penjemputan, sama aja merampok uang user, sangat memalukan",2025-02-28 05:11:04
Negatif,"maxim murah tapi koo ini ban motor yang bocor kenapa pembayaran jadi naik yg harusnya 28.400 jd 38.600 saya di haruskan bayar , menunggu 20menit berbayar , anneh yaa pelanggan yang nunggu tapi bayar juga!!!!! baru kali naik ojol begini",2025-02-28 05:01:56
Positif,pengemudi ramah,2025-02-28 04:31:28
Positif,amang nya sabar ..nungguin pelangga beli ayam dulu😊🙏🙏sehat² buat pejuang rupiah di seluruh penjuru semoga bahu kalian selalu kuat dlm mencari nafkah yang halal .. nyetir nya pelan² pak sopir😁😁anak istri slalu nunggu d rumah,2025-02-28 04:31:23
Positif,aman nyaman diperjalanan,2025-02-28 04:27:34
Positif,sangat baik pelayanannya,2025-02-28 04:26:49
Positif,makasih pak supir,2025-02-28 04:24:39
Positif,baik sekali terimakasih,2025-02-28 04:18:16
Negatif,"min, saran yo kalau udah deket drivernya di navigasi bikin tombol cancelnya hilang aja, nanti malah driver marah ke penumpang, saya emang salah udah minta maaf, kalau dibesar-besarin nanti penumpangnya malah kenapa kenapa kan gak lucu min",2025-02-28 04:13:17
Positif,bapak nya baik dan ramah,2025-02-28 04:02:02
Positif,baik sekali nyetirnya,2025-02-28 03:52:57
Positif,"driver baik, cepat dan ramah",2025-02-28 03:37:14
Positif,perjalanan aman dan nyaman serta driver yang ramah.,2025-02-28 03:28:43
Positif,"ramah, sangat baikk",2025-02-28 03:19:12
Positif,kurirnya baik ramah,2025-02-28 03:10:50
Positif,komunikasi sangat baik dan sabar🙏,2025-02-28 03:05:43
Negatif,"sering error, padahal sdh di cancel tapi malah dpt driver.. giliran di tunggu lamaaa bgt g dtg2.. bikin kagok mau pesen lagi takutx double order, trus maps g lengkap, dan sering error ..",2025-02-28 03:04:06
Positif,driver rajin banget,2025-02-28 02:58:25
Positif,perjalanan lancar,2025-02-28 02:49:59
Positif,kendaraan gercep mantap,2025-02-28 02:48:50
Positif,alhamdulillah perjalanan nyaman.terima kasih,2025-02-28 02:47:04
Positif,"ramah, cepat dan aman",2025-02-28 02:34:40
Positif,harganya terjangkau,2025-02-28 02:28:58
Positif,"baik sekali sopirnya,ramah,enak ada maxim di barong,mempermudah perjalanan.",2025-02-28 02:25:57
Negatif,sangat di sayangkan tidak tersedia pembayaran pakai kartu kredit,2025-02-28 02:07:55
Positif,bapaknya sangat baik,2025-02-28 01:53:21
Negatif,"gajelas banget aneh, gaada titik penjemputan yang bener aneh",2025-02-28 01:52:52
Positif,driver sangat ramah,2025-02-28 01:28:42
Negatif,"terlalu banyak driver maxim yg tidak menggunakan atribut, terutama di sore hari, belum lg klw plat motornya berbeda...",2025-02-28 00:52:43
Positif,ramah org nya,2025-02-28 00:44:41
Positif,driver cantik ramah baik hati,2025-02-28 00:41:07
Positif,ramah orang nya,2025-02-28 00:09:49
Positif,bapak ojol yg ramah,2025-02-27 23:42:35
Positif,menyenangkan drivernya sangat ramah🙏,2025-02-27 23:07:57
Positif,terimakasih membantu saya aplikasinya,2025-02-27 22:10:57
Positif,"sangat membantu sekali, aplikasi nyaman dan mudah di gunakan, driver tepat waktu dan ramah, pelayanan oke",2025-02-27 21:57:00
Positif,terima kasih so antar kita pagi² sekali..perjalanan yg menyenangkan,2025-02-27 21:01:53
Positif,terimakasih untuk pelayanan nya yang aman dan amanah,2025-02-27 20:32:59
Positif,"cepat ,murah dan ramah",2025-02-27 19:21:18
Positif,mantap cept dan tepat oke semngat,2025-02-27 19:16:03
Negatif,"pesan car pdhl pake kode voucher driver minta pembayaran normal, car ongkos dekat sering minta cancel, bike oke apk paling cepat penjemputan ketimbang aplikasi lain, tapi bannyak driver gagap baru terus membahayakan membaca map gelagapan,",2025-02-27 19:06:10
Positif,"murah cuy dimari ketimbang aplikasi sebelah, tapi kasian drivernya",2025-02-27 18:25:17
Positif,sangat memuaskan...baik ..ramah,2025-02-27 18:11:13
Positif,sangat memuaskan,2025-02-27 17:33:07
Positif,"puas bgt pake maxim, tengah malem butuh ojek yang lain susah buat login bertele2. maxim lgsg bisa pesan, driver lgsg dpet tanpa tunggu lama, drivernya good bgt dan buat mantau posisi drivernya juga keren bgt ngerasa aman saat mesenin org terdekat ojol dari maxim",2025-02-27 17:30:59
Positif,rama drivernya,2025-02-27 17:24:24
Positif,trimakasih banyak saya puas...,2025-02-27 17:20:08
Positif,"mantap,harga murah dan terjangkau, kualitas driver nya bagus, pertahankan maxim",2025-02-27 17:12:38
Positif,supir nya mantap,2025-02-27 17:02:19
Positif,mantap bener respon cepat pengemudi ramah nyaman berkendara dan murah tarifnya,2025-02-27 16:30:22
Positif,baik driverny + ganteng,2025-02-27 16:18:49
Negatif,"bismillah untuk maxim bagus cuman aplikasinya agak membingungkan, saya mohon maaf banget sama bapak driver, karna baru pertama pake aplikasi sudah pesen tapi ternyata nggak tau kalau driver nya sampai, dikarenakan sering berganti lempar driver jadi saya cancel tanpa konfirmasi, semoga dimaafkan dan ridho, mimin kalau bisa ada riwayat batal ya biar bisa menyampaikan permohonan maaf 🙏🙏🙏🙏🙏",2025-02-27 16:18:06
Positif,bagus dan sopan saya sangat puas,2025-02-27 16:14:43
Positif,bagus aplikasi nya,2025-02-27 16:07:29
Negatif,"ini gmn ya udah top up kaspro malah ga masuk di kaspro nya.sumpahhhh kesel bgt.kalau ga becuss buat e-wallet ga usah lo buat,sama aja nipu kalau gitu.aplikasi ga guna",2025-02-27 15:49:04
Positif,baik dan gercep,2025-02-27 15:46:06
Positif,"order telah dipenuhi oleh: yusron dengan motorcycle, warna hijau, nopol b6313uxr. terima kasih atas perjalanan anda! rating ⭐⭐⭐⭐⭐(4.80)",2025-02-27 15:37:00
Positif,lama sekali dapet layanan,2025-02-27 15:23:39
Positif,driver nya gercep,2025-02-27 15:13:36
Positif,kk baik sekali ramah sopan,2025-02-27 15:13:34
Negatif,drivernya bnyk yg judes,2025-02-27 15:08:18
Positif,terimakasih atas pelayanan nya sangat baik dan cepat,2025-02-27 14:59:44
Positif,aman nyaman dan murah dan mudah,2025-02-27 14:40:54
Positif,baik n sabar untuk nyari alamat 👍👍👍,2025-02-27 14:39:14
Positif,orangnya profesional,2025-02-27 14:38:37
Positif,"order telah dipenuhi oleh: ardianto ardianto dengan motorcycle, warna merah, nopol bm4478abv. terima kasih atas perjalanan anda! rating ⭐⭐⭐⭐⭐(4.95)",2025-02-27 14:37:44
Negatif,oknum driver diberi pengertian sebagai penyedia jasa utamakan kenyamanan pelanggan misalkan membawa kendaraan tidak ugal ugalan ramah jika kondisi mental tidak baik2 saja lebih baik istirahat saingan jasa transportasi lain banyak,2025-02-27 14:37:22
Negatif,"ojol kurang amanah, masa delivery malah belanjaan ny pda ilang, gk utuh, dan pinter ny struk blnjaan ny d ambil dong, sungguh kcewa nick name d apk ny yulianto prastyo, pdhal tarif 9rb sudah saya kasih lebih 15rb ku fikir amanahh,lbih baik bilang kalau memang mmbutuhkn, dari pada ngambil tnpa spngthuan yg punya , sungguh kcewa sih plat no d5766aem",2025-02-27 14:27:39
Positif,"cara menggunakan apk ga ribet,sejauh ini rekomendasi bgt sih",2025-02-27 14:24:51
Positif,sangat baik pelayanan,2025-02-27 14:17:44
Positif,driver sangat baik sekali terima kasih 👍👍👍 👍👍👍,2025-02-27 14:15:01
Positif,ongkos suka diubah dari pengemudi,2025-02-27 13:50:40
Positif,mengemudi sangat baik dan ramah,2025-02-27 13:42:38
Positif,"sangat memuaskan,ramah.",2025-02-27 13:40:57
Positif,sangat membntu dengn hrga harganya,2025-02-27 13:36:51
Negatif,"parah driver delivery nya maxim, sukanya ngalihin ke offline. ada yang suka ngerubah sepihak. gak ada tanya konfirmasi dulu ke pelanggan. history juga gak ada. tolong perbaikilah",2025-02-27 13:29:03
Positif,"sangat baik, ramah, sopan.",2025-02-27 13:28:25
Positif,"argonya murah dan terjangkau, drivernya baik2 bgt, bersih dan rapih, driver maxim bisa tau lokasi saya padahl saya di stasiun banyak orang.",2025-02-27 13:26:27
Positif,trima kasih pa sudah memberi kenyamanan dlm perjalanan🙏,2025-02-27 13:24:13
Positif,aman dan cepat,2025-02-27 13:21:22
Positif,luar biasa pelayananya,2025-02-27 13:19:34
Positif,keren a modifan motornya. infokan tempat modif yg recommended,2025-02-27 13:18:25
Positif,mantap semuanya terimakasih bang,2025-02-27 13:07:03
Positif,"cepat,drivernya baik dan sopan",2025-02-27 13:04:10
Negatif,susah banget cri delivery nya untuk pesan makanan apa lagi pas hujan mau pakai motor/mobil sma aja susah,2025-02-27 13:03:53
Negatif,tiap order makanan selalu di cancel sama drivernya,2025-02-27 13:03:40
Positif,"mantap drivernya, nyaman d jln. mksih",2025-02-27 12:59:20
Positif,oke baik orang mijen,2025-02-27 12:58:49
Positif,baik sekali,2025-02-27 12:58:02
Positif,"driver baik ramah,tks pak 🙏🙏🙏",2025-02-27 12:57:49
Positif,terimakasih .. walaupun ujan masih mau anterin ...,2025-02-27 12:56:29
Positif,cepat bertanggung jawab,2025-02-27 12:55:08
Positif,cepet datangnya dan sabar menunggu terimakasih bgt kak ..kiriman nasi jd satset,2025-02-27 12:53:27
Positif,"pengemudi baik, sabar,ramah .👍👍👍",2025-02-27 12:49:57
Positif,ramah dan baik,2025-02-27 12:45:27
Negatif,mapsnya kurang diperbarui,2025-02-27 12:41:45
Positif,sangat bagus dan cepat,2025-02-27 12:35:26
Positif,"order telah dipenuhi oleh: boy hendri dengan motorcycle, warna hitam, nopol bp3991dq. terima kasih atas perjalanan anda! rating ⭐⭐⭐⭐⭐(4.95)",2025-02-27 12:33:42
Positif,bagus dan cepat tanggap,2025-02-27 12:31:18
Positif,cepet menanggapi customer 👍,2025-02-27 12:25:22
Positif,aplikasinya bagud,2025-02-27 12:22:40
Positif,puas dan sopan,2025-02-27 12:21:04
Positif,pengemudi sangat sopan dan baik 🙏,2025-02-27 12:17:40
Negatif,"tolong untuk driver atas nama m. aziz mardekawan motor putih, napol ds3246be, sudah mencelakakan custamer, kronologis kejadian berawal dr driver tidak memberikan helm dan ngebut sampai menyerempet pejalan kaki, ketika ditegur mas pelan² , driver bilang mba kalo sudah otw y otw klo gk suka y dicancel, ternyata driver marah ketika ditanya kak posisi diawal penjemputan. alhasil sy minta diturunin dijln karena takut sy kenapa². ketika mau kasih uang dia tdk mau karena sy bilang mas lain kali hati²",2025-02-27 12:17:22
Positif,semoga orderan nya bertambah,2025-02-27 12:16:44
Positif,pengemudi cukup baik,2025-02-27 12:14:16
Negatif,jujur entah karna saya pengguna baru atau bagai mana saya juga tidak tau tapi saya kecewa dengan apk maxim mungkin karna ada diskon saya pesan maxim mobil harus nunggu sampai satu jam lebih dan itupun tidak ada driver yg menerima order initinya saya kecewa dan apk maxim saya unistal,2025-02-27 12:10:17
Negatif,"ini aplikasinya yg aneh apa para drivernya yah, saya setiap kali order ga pernah ada yang ambil, padahal jaraknya deket, ga jelas bgt driver maxim semua",2025-02-27 12:01:39
Positif,pelayanan memuaskan.. tepat dan sampai tujuan dg baik..,2025-02-27 11:56:54
Positif,"tepat waktu, supir ramah, bawa kendaraannya baik... thank you for driver",2025-02-27 11:55:00
Positif,"bambang suherman, ramah drivernya🙏",2025-02-27 11:53:06
Positif,"terima kasih bpk.... udah mau diajak hujan"" nan",2025-02-27 11:44:46
Positif,terimakasih sdh amanah mengantarkan saudara saudari saya pulang sampai tujuan,2025-02-27 11:39:42
Positif,terima kasih bang,2025-02-27 11:35:38
Positif,"driver nya baik, semoga sehat selalu dan dilancarkan rezeky y pak",2025-02-27 11:32:36
Positif,driver nya baik dan ramah 👍👍,2025-02-27 11:27:54
Positif,alhamdulillah drivernya baik dan ramah,2025-02-27 11:15:40
Positif,"bapak nya ramah , trimakasih",2025-02-27 11:12:38
Negatif,selektif lagi klo milih driver,2025-02-27 11:11:22
Positif,sangat ramah dan baik,2025-02-27 11:01:04
Negatif,"murah,, tapi susah titik maps yang pas dan kenapa harus ada biaya menunggu, karena berapa kali order sudah menunggu di lobi tapi afa beberapa driver belum smpai titik penjemputan, tapi sudah di infokan sampai. padahal udah berapa kali sy standby di luar tapi drivernya belum ada",2025-02-27 10:59:02
Positif,"pertama kali,di antar driver wanita. orangnya ramah dan supel. semoga lancar rejekinya",2025-02-27 10:52:36
Positif,"driver berkendara dgn baik, helm bersih & wangi👍",2025-02-27 10:44:30
Positif,mntap draiver nya,2025-02-27 10:42:43
Positif,"terimakasih orang baik ,sehat selalu panjang umur semoga sukses 👍🙏",2025-02-27 10:34:00
Positif,bagus pelayanan nya,2025-02-27 10:29:56
Negatif,"lama dapet nya kalo apke kaspro , udah vitu ke log out ga bisa login lagi padahal ada saldonya 50 ribu",2025-02-27 10:26:37
Negatif,"driver lu pada males, sekalinya dapet ngedumel ke costemer gajelas",2025-02-27 10:21:18
Positif,"makasih pak, sehat"" selalu...",2025-02-27 10:07:07
Positif,"sangat bagus, ceria dan bersih bgt",2025-02-27 10:02:16
Positif,pelayanan sangt baik dan ramah,2025-02-27 10:01:09
Positif,drever nya baik d anter nympe tujuan terimakasih,2025-02-27 09:55:47
Negatif,parah 6 kali bikin order gak ada yang mau ambil.,2025-02-27 09:47:26
Positif,"terimakasih utk maxim,,drivernya ramah dan baik sekali",2025-02-27 09:37:34
Positif,mantap ramah drivernya,2025-02-27 09:25:05
Positif,cepat dan terbaik,2025-02-27 09:22:09
Negatif,driver kurang ramah,2025-02-27 09:08:58
Positif,sangat baik ramah tamah nyaman,2025-02-27 09:06:57
Positif,driver nya baik.,2025-02-27 09:02:04
Positif,"pelayanan nya sangat baik dan sangat terjangkau,murah 😊",2025-02-27 08:56:49
Positif,pelayanannya baik dan selamat sampai tujuan,2025-02-27 08:55:02
Positif,"terima kasih mas, pelayanan bagus sekali pokoknya puas tepat dan aman👍",2025-02-27 08:52:20
Negatif,aplikasi menyusahkan gua order food titiknya ga bener kasian drivernya pas gua mau batalkan malah ga bisa di batalkan.. gua tanya drivernya katanya kena potong klau di batalkan kasian co driver kena 2x,2025-02-27 08:46:26
Positif,drivernya sangat ramah,2025-02-27 08:46:24
Positif,terimakasih sangat amanah,2025-02-27 08:43:44
Positif,makasi sangat membantu,2025-02-27 08:38:27
Positif,bagus pelayanan yang sangat baik,2025-02-27 08:29:36
Positif,mantap abang nya,2025-02-27 08:06:38
Positif,mantap pelayanan .driver ramah..sukses untuk maxim.,2025-02-27 08:05:40
Positif,cepat dan tepat,2025-02-27 08:05:27
Positif,pelayanan terbaik,2025-02-27 07:58:29
Negatif,"tolong mapsnyaa dipermudah min, kadang aga susah search alamat & sedik berat juga kita drag maps dan buka fitur foto di room chat, agar memudahkan customer memberikan informasi kepada driver",2025-02-27 07:58:21
Positif,"mantap , dengan pelayanan nyaa, cepet dan jelas",2025-02-27 07:52:12
Positif,"abangnya baik, mau nerima request jalan pelan-pelan karna bawa bayi",2025-02-27 07:08:50
Positif,sangat baik dan ramah,2025-02-27 07:07:55
Positif,semoga rejekinya tambah lancar dan sukses pak,2025-02-27 07:03:35
Positif,ramah dan sopan santun,2025-02-27 06:46:30
Positif,terima kasih ya pak tidak bisa ngasih lebih,2025-02-27 06:42:33
Positif,ramah nyaman berkendara,2025-02-27 06:24:13
Positif,tepat waktu dan cepat sampai tujuan,2025-02-27 06:20:53
Negatif,"gakkkk rekomendasi!! gak gercep supirnya, titik lokasi dimana, jemput nya dimana, pokoknya ga gercep lah supirnya, padahal lagi buru buru.",2025-02-27 06:14:16
Positif,"mantap, supirnya ramah tamah👍",2025-02-27 06:13:45
Positif,drivernya sabar,2025-02-27 06:07:11
Positif,mantap sangat puas.,2025-02-27 06:05:26
Positif,sangat tau jalan,2025-02-27 05:41:38
Positif,"order telah dipenuhi oleh: igusti ngurah ketut supriana dengan motorcycle, warna hijau muda, nopol dk5549tt. terima kasih atas perjalanan anda! rating ⭐⭐⭐⭐⭐(4.95)",2025-02-27 05:39:58
Positif,puas saya bapak driver nya baik ramah,2025-02-27 05:37:50
Positif,cepat dan sangat baik,2025-02-27 05:32:49
Positif,"cepat,dan aman",2025-02-27 05:27:55
Negatif,"tarif harga beda, pas nyampe harga jd naikkk :((",2025-02-27 05:12:59
Positif,puas sangat membantu,2025-02-27 05:08:10
Positif,pelayaann cepat,2025-02-27 05:05:48
