sentiment,content
Positif,diandalkan dlm perjalanan
Positif,baik banget bolak balik dibantu cari travel
Negatif,banyak gangguan
Positif,mudah aktivasi
Positif,mantab coi maxim murah banget murah driver juga cepat nyampe terus sampai tujuan cepat selamat mantab maxim lebih bagus gojek
Positif,pelayaan lumayan bagus
Positif,pelayanan prima terimakasih
Positif,sopir sopan ramah sabar
Positif,driver ramahdan nyaman
Negatif,gak ngirim sms apa lah no ku aktif suruh nyocokin gambar memang gak niat ga sa buat laa
Negatif,ketika menunggu konfirmasi msi terlalu lama ya kak
Positif,ramahtepat waktuterima kasih
Positif,trimakasih atas pelayananya
Negatif,pesan food disini tidak respon
Positif,cepatt baik
Negatif,ribet pilih map kesusahan tidak banyak mapjln pilih alias tidak nonggol maxim doang
Positif,mantap terima kasih kang anterin sampai tuan
Positif,nyaman aman mantap
Negatif,mengecewakan order selesai memesan otomatis kembali padahal saya tidak pesan orderan sebelumnya selesai not recommended
Negatif,salado beberapa kali potong tanpa ada driver datang lokasi penjemputan sama merampok uang user sangat memalukan
Negatif,maxim murah koo ban motor bocor kenapa pembayaran naik harusnya saya haruskan bayar menunggu menit berbayar anneh pelanggan nunggu bayar juga baru kali naik ojol begini
Positif,pengemudi ramah
Positif,amang sabar nungguin pelangga beli ayam dulusehat² buat pejuang rupiah seluruh penjuru semoga bahu kalian selalu kuat dlm mencari nafkah halal nyetir pelan² pak sopiranak istri slalu nunggu rumah
Positif,aman nyaman diperjalanan
Positif,sangat baik pelayanannya
Positif,terima kasih pak supir
Positif,baik sekali terimakasih
Negatif,min saran iya kalau deket drivernya navigasi bikin tombol cancelnya hilang nanti bahkan driver marah penumpang saya emang salah minta maaf kalau dibesarbesarin nanti penumpangnya bahkan kenapa kenapa kan gak lucu min
Positif,bapak baik ramah
Positif,baik sekali nyetirnya
Positif,driver baik cepat ramah
Positif,perjalanan aman nyaman serta driver ramah
Positif,ramah sangat baikk
Positif,kurirnya baik ramah
Positif,komunikasi sangat baik sabar
Negatif,sering error padahal cancel bahkan dapat driver giliran tunggu lamaaa banget g datang bikin kagok mau pesen takutx double order trus maps g lengkap sering error
Positif,driver rajin banget
Positif,perjalanan lancar
Positif,kendaraan gercep mantap
Positif,alhamdulillah perjalanan nyamanterima kasih
Positif,ramah cepat aman
Positif,harganya terjangkau
Positif,baik sekali sopirnyaramahenak ada maxim barongmempermudah perjalanan
Negatif,sangat sayangkan tidak tersedia pembayaran pakai kartu kredit
Positif,bapaknya sangat baik
Negatif,gajelas banget aneh tidak ada uang titik penjemputan benar aneh
Positif,driver sangat ramah
Positif,pelayanan bagus
Negatif,terlalu banyak driver maxim tidak menggunakan atribut terutama sore hari kalau plat motornya berbeda
Positif,ramah org
Positif,driver cantik ramah baik hati
Positif,ramah orang
Positif,bapak ojol ramah
Positif,sangat membantu
Positif,menyenangkan drivernya sangat ramah
Positif,terimakasih membantu saya aplikasinya
Positif,sangat membantu sekali aplikasi nyaman mudah gunakan driver tepat waktu ramah pelayanan oke
Positif,terima kasih so antar pagi² sekaliperjalanan menyenangkan
Positif,terimakasih pelayanan aman amanah
Positif,cepat murah ramah
Positif,mantap cept tepat oke semngat
Negatif,pesan car pdhl pakai kode voucher driver minta pembayaran normal car ongkos dekat sering minta cancel bike oke apk paling cepat penjemputan ketimbang aplikasi lain bannyak driver gagap baru terus membahayakan membaca map gelagapan
Positif,murah cuy dimari ketimbang aplikasi sebelah kasian drivernya
Positif,sangat memuaskanbaik ramah
Positif,sangat memuaskan
Positif,puas banget pakai maxim tengah malam butuh ojek lain susah buat login bertele maxim langsung pesan driver langsung dpet tanpa tunggu lama drivernya good banget buat mantau posisi drivernya juga keren banget ngerasa aman mesenin org terdekat ojol maxim
Positif,pelayanan bagus
Positif,rama drivernya
Positif,trimakasih banyak saya puas
Positif,mantapharga murah terjangkau kualitas driver bagus pertahankan maxim
Positif,supir mantap
Positif,mantap benar respon cepat pengemudi ramah nyaman berkendara murah tarifnya
Positif,baik driverny ganteng
Negatif,bismillah maxim bagus cuman aplikasinya agak membingungkan saya mohon maaf banget sama bapak driver baru pertama pakai aplikasi pesen ternyata tidak tahu kalau driver sampai dikarenakan sering berganti lempar driver saya cancel tanpa konfirmasi semoga dimaafkan ridho mimin kalau ada riwayat batal iya biar menyampaikan permohonan maaf
Positif,bagus sopan saya sangat puas
Positif,bagus aplikasi
Negatif,gmn iya top up kaspro bahkan ga masuk kaspro nyasumpahhhh kesel bgtkalau ga becuss buat ewallet ga perlu kamu buatsama tipu kalau gituaplikasi ga guna
Positif,baik gercep
Positif,order dipenuhi yusron motorcycle warna hijau nopol buxr terima kasih atas perjalanan rating
Positif,lama sekali dapat layanan
Positif,driver gercep
Positif,kakak baik sekali ramah sopan
Negatif,drivernya banyak judes
Positif,terimakasih atas pelayanan sangat baik cepat
Positif,aman nyaman murah mudah
Positif,baik sabar mencari alamat
Positif,orangnya profesional
Positif,order dipenuhi ardianto ardianto motorcycle warna merah nopol bmabv terima kasih atas perjalanan rating
Negatif,oknum driver diberi pengertian penyedia jasa utamakan kenyamanan pelanggan misalkan membawa kendaraan tidak ugal ugalan ramah kondisi mental tidak baik lebih baik istirahat saingan jasa transportasi lain banyak
Negatif,ojol kurang amanah masa delivery bahkan belanjaan ny pda hilang gk utuh pinter ny struk blnjaan ny ambil dong sungguh kcewa nick name apk ny yulianto prastyo pdhal tarif rb saya kasih lebih rb ku fikir amanahhlbih baik bilang kalau memang mmbutuhkn mengambil tnpa spngthuan punya sungguh kcewa sih plat no daem
Positif,cara menggunakan apk ga ribetsejauh rekomendasi banget sih
Positif,sangat baik pelayanan
Positif,driver sangat baik sekali terima kasih
Positif,ongkos suka diubah pengemudi
Positif,mengemudi sangat baik ramah
Positif,sangat membantu
Positif,sangat memuaskanramah
Positif,sangat membntu dengn hrga harganya
Negatif,parah driver delivery maxim sukanya ngalihin offline ada suka ngerubah sepihak gak ada tanya konfirmasi dulu pelanggan history juga gak ada tolong perbaikilah
Positif,sangat baik ramah sopan
Positif,argonya murah terjangkau drivernya baik banget bersih rapih driver maxim tahu lokasi saya padahl saya stasiun banyak orang
Positif,terima kasih kasih pa memberi kenyamanan dlm perjalanan
Positif,aman cepat
Positif,luar biasa pelayananya
Positif,keren a modifan motornya infokan tempat modif recommended
Positif,baik ramah
Positif,mantap semuanya terimakasih bang
Positif,cepatdrivernya baik sopan
Negatif,susah banget cri delivery pesan makanan apa pas hujan mau pakai motormobil sama susah
Negatif,tiap order makanan selalu cancel sama drivernya
Positif,mantap drivernya nyaman jalan mksih
Positif,oke baik orang mijen
Positif,baik sekali
Positif,driver baik ramahtks pak
Positif,terimakasih walaupun ujan mau anterin
Positif,cepat bertanggung jawab
Positif,cepat datangnya sabar menunggu terimakasih banget kak kiriman nasi satset
Positif,pengemudi baik sabarramah
Positif,ramah baik
Negatif,mapsnya kurang diperbarui
Positif,sangat bagus cepat
Positif,order dipenuhi boy hendri motorcycle warna hitam nopol bpdq terima kasih atas perjalanan rating
Positif,bagus cepat tanggap
Positif,pelayanan baik
Positif,cepat menanggapi customer
Positif,aplikasinya bagud
Positif,puas sopan
Positif,pengemudi sangat sopan baik
Negatif,"tolong driver atas nama m aziz mardekawan motor putih narapidana politik dsbe mencelakakan custamer kronologis kejadian berawal driver tidak memberikan helm ngebut sampai menyerempet pejalan kaki ketika ditegur mas pelan² driver bilang mbak kalau on the way , sedang jalan ya on the way , sedang jalan kalau gk suka ya dicancel ternyata driver marah ketika ditanya kak posisi diawal penjemputan alhasil saya minta diturunin dijln takut saya kenapa² ketika mau kasih uang dia tidak mau saya bilang mas lain kali hati²"
Positif,semoga orderan bertambah
Positif,pengemudi cukup baik
Negatif,jujur entah saya pengguna baru bagai mana saya juga tidak tahu saya kecewa apk maxim mungkin ada diskon saya pesan maxim mobil harus nunggu sampai satu jam lebih itupun tidak ada driver menerima order initinya saya kecewa apk maxim saya unistal
Negatif,aplikasinya aneh apa para drivernya yah saya setiap kali order ga pernah ada ambil padahal jaraknya deket ga jelas banget driver maxim semua
Positif,pelayanan memuaskan tepat sampai tujuan baik
Positif,tepat waktu supir ramah bawa kendaraannya baik thank you for driver
Positif,bambang suherman ramah drivernya
Positif,terima kasih bapak mau diajak hujan nan
Positif,terimakasih amanah mengantarkan saudara saudari saya pulang sampai tujuan
Positif,terima kasih bang
Positif,driver baik semoga sehat selalu dilancarkan rezeky ya pak
Positif,driver baik ramah
Positif,alhamdulillah drivernya baik ramah
Positif,bapak ramah trimakasih
Negatif,selektif kalau milih driver
Positif,baik ramah
Positif,sangat ramah baik
Negatif,murah susah titik maps pas kenapa harus ada biaya menunggu berapa kali order menunggu lobi afa beberapa driver smpai titik penjemputan infokan sampai padahal berapa kali saya standby luar drivernya ada
Positif,pertama kalidi antar driver wanita orangnya ramah supel semoga lancar rejekinya
Positif,sangat membantu
Positif,driver berkendara baik helm bersih wangi
Positif,mntap draiver
Positif,pelayanan bagus
Positif,terimakasih orang baik sehat selalu panjang umur semoga sukses
Positif,bagus pelayanan
Negatif,lama dapat kalau apke kaspro vitu log out ga login padahal ada saldonya ribu
Negatif,driver kamu males sekalinya dapat ngedumel costemer gajelas
Positif,terima kasih pak sehat selalu
Positif,sangat bagus ceria bersih banget
Positif,pelayanan sangt baik ramah
Positif,drever baik antar nympe tujuan terimakasih
Negatif,parah kali bikin order gak ada mau ambil
Positif,sangat membantu
Positif,terimakasih maximdrivernya ramah baik sekali
Positif,sangat membantu
Positif,mantap ramah drivernya
Positif,cepat terbaik
Negatif,driver kurang ramah
Positif,sangat baik ramah tamah nyaman
Positif,driver baik
Positif,pelayanan sangat baik sangat terjangkaumurah
Positif,pelayanannya baik selamat sampai tujuan
Positif,terima kasih mas pelayanan bagus sekali pokoknya puas tepat aman
Negatif,aplikasi menyusahkan saya order food titiknya ga benar kasian drivernya pas saya mau batalkan bahkan ga batalkan saya tanya drivernya katanya kena potong klau batalkan kasian co driver kena x
Positif,drivernya sangat ramah
Positif,terimakasih sangat amanah
Positif,makasi sangat membantu
Positif,bagus pelayanan sangat baik
Positif,sangat memuaskan
Positif,mantap abang
Positif,mantap pelayanan driver ramahsukses maxim
Positif,cepat tepat
Positif,pelayanan terbaik
Negatif,tolong mapsnyaa dipermudah min kadang aga susah search alamat sedik berat juga drag maps buka fitur foto room chat memudahkan customer memberikan informasi kepada driver
Positif,pelayanan baik
Positif,mantap pelayanan nyaa cepat jelas
Positif,sangat memuaskan
Positif,ramah baik
Positif,abangnya baik mau nerima request jalan pelanpelan bawa bayi
Positif,sangat baik ramah
Positif,semoga rejekinya tambah lancar sukses pak
Positif,ramah sopan santun
Positif,terima kasih iya pak tidak memberikan lebih
Positif,ramah nyaman berkendara
Positif,tepat waktu cepat sampai tujuan
Negatif,gakkkk rekomendasi gak gercep supirnya titik lokasi dimana jemput dimana pokoknya ga gercep lah supirnya padahal buru buru
Positif,mantap supirnya ramah tamah
Positif,drivernya sabar
Positif,mantap sangat puas
Positif,sangat tahu jalan
Positif,order dipenuhi igusti ngurah ketut supriana motorcycle warna hijau muda nopol dktt terima kasih atas perjalanan rating
Positif,puas saya bapak driver baik ramah
Positif,cepat sangat baik
Positif,cepatdan aman
Negatif,tarif harga beda pas nyampe harga naikkk
Positif,puas sangat membantu
Positif,pelayaann cepat
Positif,sopirnya ramah sabar
Positif,sangat memuaskan
Positif,cepat dijalan hebat bapak
Positif,baru coba apl maxsim sangat membantu
Positif,pelayanan drivernya sangat bagus baik fab ramah
Positif,pelayanan iya bagus cepat
Positif,baik ramah
Positif,baik ramah
Positif,sangat amat baik
Positif,derefer sangat bagus ramah sopan
Positif,aa sabar banget nungguin terima kasih iya
Positif,pelayanan mengantar sangat baik sopan ramah cepat sangat suka saya terimakasih
Negatif,apk apa ginilgi pesan orderen tiba keluar sendiri gak masuk smpe jam lbihjd gak enak sm drivernya gara apk maxim eror
Positif,pelayanan terbaik jangkau wilayah pelosok desasopir ramah pengertian trimakasih
Positif,baik cepat sampai paketnya
Positif,layangan bagus
Positif,terimakasih membantu melancarkan perjalanan
Positif,sangat memuaskan
Positif,tepat waktu ramah amanah
Negatif,lapor saya download berulang kali maxin play tor tidah dibuka aplikasi maxim tolong bantuan beyebab ya apa
Negatif,bagus ekonomis cm rute maps kadang kurang lengkap dapetinnya
Positif,mantullllll banget sangat mudah bepergian satu tempat tempat lain sukses selalu maxim
Positif,semuanya bagus
Negatif,buat titik lokasinya kalau disimpan secara otomatis tidak berkali kali memasukan alamat titik lokasi sangat susah tidak sama lokasi ditujutitik penjemputan driver juga diseleksi iya saya sering mendapatkan driver curang minta tambahan ongkos bensin alasan mutermencari titik penjemputan terima kasih
Positif,terima kasih sangat ganteng sangat baik sangat sopan semoga rejekinya lancar terus
Negatif,apk butuhin kenapa gk buka
Positif,sangat membantu
Positif,semoga orderannya lancar
Positif,mantap aplikasinya
Positif,pelayanan baik
Positif,driver ramah baik
Positif,pelayanannya mantap z senang
Positif,sangat mudah aplikasi
Negatif,jujur saya smp sampai sama pakai apk baru baru kenapa harga naik yah awalnya cmn buat pergi jauh banget naik harga sedangkan sekolah buat kerumah tetap gk berubah kenapa iya saya pelajar masalah
Positif,bagus mudah
Positif,murah menjangkau rakyat kecil
Positif,terima kasih alhamdulillah baik ci abang
Positif,aplikasi sangat berguna
Positif,sopir ramah sopan sekali
Positif,baik ramah terimakasih pak atas pelayanan kepada customer semangat ngalongnya
Positif,fasilitas memusatkan
Positif,mantap drivernya ramah cepat
Positif,hebat bagus
Positif,sangat membantu harga murah nyaman
Positif,mantap pelayanan
Positif,layanan sangat baik
Positif,pelayanan ramah bagus
Positif,trimakasih atas penjemputan ramah baik
Negatif,gatal sama customer
Positif,sangat ramah baikmobil bersih
Positif,driver ramah sabar rute cepat setiran bagus
Positif,sangat memuaskan
Positif,nyaman sekali
Positif,saya sangat puas pelayanan
Positif,pelayanan bagus
Positif,drivernya mantab ganteng ramah baik hati
Positif,sopirnya ramah baik
Negatif,bagus cuma sayangnya pas hujan habis hujan driver ga mau nerima membuat aku kesal bukan bagaimana iya menolak sama menolak rezeki namanya juga cari rezeki yah harus dihadapi segala rintangan apapun kedepannya tolong perbaiki
Negatif,kaya genshin impact aplikasi berat banget buset
Positif,bapak agus trimakasih sehat selalu rezekinya makin banyakk
Positif,baik bersih ramah
Negatif,dear maxim hari tanggal februari pagi hingga sore sekira pukul saya keluarga menggunakan jasa maxim car tetapi handphone saya tertinggal mobil sedang charger hingga malam tidak ada kabar driver maxim mengenai handphone nomor plat mobil b nowb now aplikasi plat nomor tanpa w bnobno mohon dicek iya salah satu plat mobil saya ingat saya mohon ditinjau laporan saya
Positif,luar biasaaa baiknya
Positif,angkutan umum dapat digunakan berpergian
Positif,tsprtsi sangat cepat murah
Positif,tarif murah pelayanan cepat memuaskan
Positif,tepat waktu cepat ramah
Positif,supir lincah dlm mengemudi
Positif,driver baik ramah
Negatif,kode promo ga lantas kenapa dipajang sampul hapus sama penipuan
Positif,cepat tepat ramah
Positif,kakak baik sangat ramah
Negatif,tolonglahhh maxim sediakan kaspro tidak semua driver tahu terima kasih tidak mau mengembalikan uang kembalian giliran ditanya mana kembalian bahkan ngegas bilang perhitungan parahnya alasannya ada potongan yahhh harusnya klu dia daftar dia setuju potongan giliran ditunggu kembaliannya bahkan langsung tancap gas ga ngucap terima kasih padahal ditunggu nanti giliran report bahkan ngegas ngancam mau terorrr saya pernah report
Negatif,potongan komisi maxim sangat besar makanya banyak kasar penumpangnya apa foodsgoods semua biaya nanggung driver kesejahteraan pekerja lebih utamakan driver maxim semakin berkembang kalau grab sm gojek biaya pembatalan delivery tanggung maxim
Positif,ojek transportasi terbaik
Positif,lebih murah lainnya
Positif,terimakasih bapak nyaman bawa motor
Positif,recomend jujur terpercaya
Positif,responnya bagus
Positif,pelayanan sangat memuaskan pengemudi org nga asik ajak ngobrol
Positif,driver baik pesananan
Positif,driver ramah santun
Positif,pak supirnya baik ramahpkoknya amanah
Positif,pelayan bagussopan santun
Negatif,lama banget mencari driver terus susah nemuin titik
Negatif,maxxim saya cuman bawa barang belanjaan kena tarif rb sdngkan tarif awal tolong jangan cari kesempatan dalam kesempitan driver gak semua orang belnja kaya sdngkan saya ibu rumah tangga menunggu suami memberi uang belanja dikumpulin dulu
Positif,alhamdulillah sampai cepat sekali kurirnya ramah
Positif,bapaknya baik ramah
Positif,baik banget orang nyasemoga banyak rejekinya iya pakamin
Positif,ati bawa mobil iya bang
Positif,driver hari super baik ramah
Positif,pengemudi sangat ramah
Positif,terima kasih pelayanan sangat baik kakak ramah sehat² semoga kakak banyak rejekinya semangat pejuang cuan
Positif,puas pelayanan maxim
Positif,bagus nyaman
Negatif,tolong perbaiki maps
Positif,baik sekali
Positif,sopirnya ramah
Positif,driver cepat sampai tidak kebut kebut an
Positif,g login
Positif,sangat baik drivernya
Positif,pelayanan bagus
Positif,bapaknya baik enak ajak ngobrol
Positif,pelayanan baik ramah
Positif,pelayanan sangat baik
Positif,tarif maxim jauh lebih terjangkau dibandingkan ojol laindriver lembut sopan mengemudi hatihati
Positif,mantap tepat waktu
Positif,sangat membantu
Positif,supir sangat ramah cekatan
Positif,pelayanan baik
Negatif,adain metode pembayaran pakai aplikasi dana dongbuat apa duit bnyak dana bayar makanan ny gbisa pke metode dana
Positif,terima kasih maxim
Positif,abg driver humbel udh gtu tidak neko²
Positif,keren cepat
Positif,drivernya gercep baik
Positif,drivernya sangat baik sopan
Positif,layanan cepat ramah aplikasi enteng
Positif,sangat memuaskan
Positif,sangat cepat sekali
Positif,orangnya ramah
Positif,orangnya ramahbawa kendaraan aman
Positif,mendapatkan lakilaki
Negatif,ada driver dekat lokasi penjemputan bahkan dapatnya driver jauh lokasi penjemputan
Positif,pengemudi ramah dak cepat
Positif,terima kasih membantu sampai tujuan selamat
Positif,orangnya asik
Positif,pengemudi misrani motorcycle warna hitam nopol ktf selamat menikmati perjalanan rating
Positif,terimakasih memuaskan
Positif,pelayanan ramah atribut lengkap
Positif,cara mengemudi iya bagus peduli pelanggan
Positif,baik pakai atribut
Positif,alhamdulillah dapat driver nyaman
Positif,maksim ramah
Negatif,tolong diperbaiki aplikasinya terkadang salah pilih layanan kadang mau naik mobilmalah orderan motor terpilih
Positif,selamat sempurna
Negatif,mengganggu waktu sholat dhuhur sangat tidak menghargai orang beribadah
Positif,sabar sopir
Positif,bagus dalam pelayanan
Positif,sangat membantu sekali
Positif,terima kasih mbak semoga orderannya makin banyak
Positif,baik ramah cepat okelah
Positif,oke pengemudi ramah nyaman mobil
Positif,bapaknya baik pengertian perjalanan ibu hamil nyaman trimakasih iya pak banyak rezeki bapak
Negatif,parahhhhmau login verifikasi berkali gak selesaitopup saldo gak langsung masuk
Positif,dapat driver engkong walaupun gemetar naeknya paling tidak maxim mau memberi pekerjaan tidak memandang usiabuat engkong driversehat terus
Negatif,tujuan suka ubah ubah order kadang kadang dibalikan lokasi tujuan rutenya selalu ubah
Positif,terima kasih kasih nyampe perjalanan hati hati
Positif,murahgampang praktis
Positif,orderanku tepat waktu bersih sopan sigap drivernya terimakasih pak chries
Positif,pelayanan baguss
Positif,pelayanannya bagus
Positif,layanan sangat memuaskan bang ojol juga ramah
Positif,mudah mudahan maxim makin berjaya makin banyak peminatnya
Positif,membantu mempermudah tujuan keren apa
Positif,pelayanan bagus
Positif,saya kalau banda aceh kalau pakai ojek tetap maxim cara pakai mudah biaya pun lebih murah terimakasih
Positif,sangat mudah membantu
Positif,sangat amat ramahhh
Positif,alhamdulillah draiverya baikramah
Positif,derver baik ramah
Positif,ojekx bersahabat
Positif,pelayanan ramah tepat waktu dlm penjemputan
Positif,abang ny baik ramah tamah
Negatif,terlalu buruklambat jalan
Positif,terima kasih atas pelayanannyamaxim emang ok
Negatif,map kurang komplit
Positif,baik sekali tepat waktu
Positif,driver ramah enak ajak ngobrol
Positif,pelayanan memuaskanpengemudi ramah membantu
Positif,sangat memuaskan
Positif,sangat membantu respon juga cepat
Positif,pelayanan ok
Positif,luar biasaramahbesihsopan amanah
Positif,terimakasih pak driveristimewa
Negatif,aduh ga x x dapat driver kurang ajar ga mengerti map kalau gatau jalan kan tanya penumpang saya terlambat muter berpuluh menit pas saya bantu arahin sok paling tahu jalan terlambat marahmarah customer via chatlangsung sering banget setelah saya nunggu lamaaaaaa baru driver chat suruh cancel paling benar emang pakai si ijo kecewaaaaaaa
Negatif,ojol termasuk murah sangat disayangkan dapat beberapa drivernya kalau dateng tidak estimasi aplikasi misal aplikasi menit nunggu menit estimasi seharusnya on time suka terlambat minta tolong edukasi kembali pihak driver menyesuaikan waktu ditentukan diaplikasi
Positif,driver ramah sekali
Positif,pelayanan drivernya bagus
Negatif,bagus ih tolong permudah cari titik maps titik lokasi susah banget
Positif,terima kasih ontime ketika smp stasiun
Positif,drivernya ramah amanah
Negatif,buat pesen maxim agak susah sekali dapat eh harus nunggu sampai menitan saya lihat map eh tiba tiba maxim keluar daftar kayak diawal pas saya daftarin eh tiba tiba kode maximny gak muncul aplikasi maxim harus perbaiki sih menurut saya aplikasi kayak eror gitu mohon diperbaiki secepatnya
Positif,baik banget supirnya ramah
Positif,maxim semakin depan
Positif,wilayah papua respon bagus hemat sekali
Positif,luar biasa ramah sekali pengemudinya
Positif,playanan gerecep tanpa neko neko mantap
Negatif,map gak update
Positif,terima kasih pak
Positif,terima kasihdriver amanah
Positif,driver sangat baik
Positif,diajak ngobrol
Positif,murah nyaman
Positif,dijajal dulu
Positif,sangan bagus cepat
Negatif,apk ee masa aku mau login tidak nunggu kode verifikasi ga ada
